x,y,river,year,migration_rate (m/yr),curvature (1/m),row_id,EVI_change_2000_2016_unitless,EVI_change_2016_2024_unitless,CV_runoff_ERA5_2000_2016_unitless,CV_runoff_ERA5_2016_2024_unitless,DamDistance_km,CV_discharge_USGS_2000_2016_unitless,CV_discharge_USGS_2016_2024_unitless,DamBin,DamBin_code,CV_diff_2000_2016_ERA5_minus_USGS,CV_diff_2016_2024_ERA5_minus_USGS
426104.5316,3604886.529,Blackwarrior,2000,-4.885660859,-0.000255683,49,0.036268871,0.347132643,1.238918841,0.953451531,22.56132241,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
426078.9789,3605161.687,Blackwarrior,2000,-1.222085814,-0.001402405,50,0.106655983,0.277744711,1.238918841,0.953451531,22.28712472,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
426270.8604,3605510.945,Blackwarrior,2000,-11.01202321,-0.001478427,51,0.097671955,0.505179142,1.238918841,0.953451531,21.98982656,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
426482.5411,3605607.982,Blackwarrior,2000,-1.342392595,-0.003272765,52,0.140279011,0.453357849,1.238918841,0.953451531,21.94539379,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
426701.5158,3605629.632,Blackwarrior,2000,1.217436536,-0.000977201,53,0.050170252,0.648252991,1.238918841,0.953451531,21.97818301,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
427078.7579,3605429.942,Blackwarrior,2000,11.30692769,-0.000276159,54,0.057012517,0.461227364,1.238918841,0.953451531,22.26828098,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
427478.6464,3605250.001,Blackwarrior,2000,-1.07242139,-0.000640767,55,0.050366578,0.309190599,1.238918841,0.953451531,22.55004717,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
427688.4051,3605015.429,Blackwarrior,2000,-2.442932535,-0.001926603,56,0.045456219,0.366248263,1.238918841,0.953451531,22.83425297,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
427770.2588,3604779.362,Blackwarrior,2000,-4.440436969,-0.001283112,57,0.053277452,0.332406994,1.238918841,0.953451531,23.08393613,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
427687.9634,3604464.268,Blackwarrior,2000,-4.000164571,-7.10E-05,58,0.03757392,0.314458901,1.238918841,0.953451531,23.36327254,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
427672.0325,3604238.253,Blackwarrior,2000,1.638802639,0.000725602,59,0.052087281,0.282924369,1.238918841,0.953451531,23.57617339,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
427681.9268,3604002.447,Blackwarrior,2000,-5.799229527,0.00141633,60,0.034247986,0.212171726,1.238918841,0.953451531,23.80577706,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
427730.3086,3603827.769,Blackwarrior,2000,-3.17148179,0.002885692,61,0.03680849,0.205227764,1.238918841,0.953451531,23.98709049,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
427903.4086,3603670.093,Blackwarrior,2000,5.279835117,0.002493717,62,0.029752374,0.263671483,1.238918841,0.953451531,24.18632375,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
428175.5469,3603666.67,Blackwarrior,2000,-6.18036823,0.002573475,63,0.058748944,0.190788988,1.238918841,0.953451531,24.26647254,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
428385.1725,3603838.1,Blackwarrior,2000,-6.302307083,0.000851325,64,0.037960915,0.158025451,1.238918841,0.953451531,24.16380452,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
428651.6387,3604225.832,Blackwarrior,2000,-4.313631132,0.000308124,65,0.047801823,0.365829843,1.238918841,0.953451531,23.87562466,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
428797.4198,3604632.702,Blackwarrior,2000,-7.669384298,-8.55E-05,66,0.047251708,0.340688564,1.238918841,0.953451531,23.53597037,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
428946.2448,3604971.34,Blackwarrior,2000,-2.757318358,-0.000755157,67,0.037220069,0.27681945,1.238918841,0.953451531,23.26476564,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
429207.2155,3605271.614,Blackwarrior,2000,-11.73729317,-0.00052997,68,0.037581265,0.269563828,1.238918841,0.953451531,23.07106461,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
429627.4052,3605513.658,Blackwarrior,2000,-5.136163081,-0.000266064,69,0.065756046,0.298282189,1.269338391,0.960713259,22.99487075,1.454717049,1.258098565,10–30 km,1,-0.185378658,-0.297385306
430079.3004,3605765.037,Blackwarrior,2000,-0.488777598,-0.00028603,70,0.021264704,0.292393542,1.269338391,0.960713259,22.93233729,1.454717049,1.258098565,10–30 km,1,-0.185378658,-0.297385306
430506.0241,3605860.777,Blackwarrior,2000,10.50281012,-0.000180421,71,0.056908411,0.260987311,1.269338391,0.960713259,23.01337524,1.454717049,1.258098565,10–30 km,1,-0.185378658,-0.297385306
