river,year,bend_id,n_points,s_length_m,curvature_abs_max,curvature_abs_mean,apex_row_id,apex_x,apex_y,DamDistance_km_mean,Delta_EVI_change_unitless_mean,CV_runoff_selected_mean,is_training_any,apex_s_m,mean_migration_rate,median_migration_rate,std_migration_rate,mean_migration_abs,max_migration_abs,mean_curvature,std_curvature,mean_curvature_abs,frac_pos_curv,frac_pos_migration,s_min,s_max,span_s_m,best_lag_m,best_lag_abs_corr,best_lag_corr_signed,n_pairs_for_best_lag,chord_len_m,sinuosity_unitless
Blackwarrior,2018,Blackwarrior_2018_19,8,577.2204286,0.011899429,0.003647913,403,430787.1862,3605909.18,22.93700347,0.256184044,0.960713259,True,24659.37595,-2.5590871357500005,3.7676151845000003,15.226434698478334,10.900024754250001,26.91822378,0.0036479135,0.0051646343927366795,0.0036479135,1.0,0.75,24541.15089,25118.37132,577.2204299999976,172.0,0.9966738483516,-0.9966738483516,6,436.12344156377566,1.3235253453249458
Blackwarrior,2018,Blackwarrior_2018_2,10,552.1842958,0.004938035,0.002055503,304,420669.61,3601333.99,25.57115216,0.313213252,0.967452609,True,1777.011338,0.9529456057999999,-2.722436481,7.621822671492298,5.8891746698,14.28897907,-0.0020555026,0.001892160874259034,0.0020555026,0.0,0.4,1676.958023,2229.142319,552.1842960000001,172.0,0.8525461366635292,-0.8525461366635292,6,472.1626601442506,1.1694789580169298
Blackwarrior,2018,Blackwarrior_2018_20,8,1146.193841,0.000433716,0.000255518,407,430409.5246,3606674.208,21.87425521,0.081822948,0.960713259,True,25560.75908,-6.820606882750001,-11.883163105500001,19.799952798882963,18.25178130775,26.37845017,-0.00025551825,0.00011016959701005148,0.00025551825,0.0,0.25,25434.91472,26581.10856,1146.19384,0.0,0.6409902190115988,0.6409902190115988,8,1130.0839557755019,1.0142554764556788
Blackwarrior,2018,Blackwarrior_2018_21,18,2322.149794,0.003754541,0.000954089,412,429695.9734,3608682.656,20.01512687,0.196139788,0.955872107,True,27706.98632,2.538935778888889,2.983568494,10.436325242124358,9.281844749555555,16.64805153,0.0009540887777777777,0.0011938676584236903,0.0009540887777777777,1.0,0.5555555555555556,26830.4728,29152.62259,2322.1497899999995,1376.0,0.9901112201381865,-0.9901112201381865,6,1778.509615544252,1.3056717679254073
Blackwarrior,2018,Blackwarrior_2018_22,6,546.8461397,0.000551531,0.000333596,420,427857.2127,3608268.96,19.76997846,0.212837191,0.953451531,True,29690.60352,-20.332381863333335,-20.52584502,0.7143193774298009,20.332381863333335,21.01651149,-0.00033359633333333334,0.0001831230965451018,0.00033359633333333334,0.0,0.0,29422.93592,29969.78206,546.8461400000015,0.0,0.42400424636190576,0.42400424636190576,6,542.4098711369901,1.0081788123687916
Blackwarrior,2018,Blackwarrior_2018_23,6,693.0305019,0.000232226,0.000179943,422,427371.1373,3608147.817,19.76013759,0.153233781,0.953451531,True,30191.88404,-2.899726976666667,-7.98012324,8.39632950010019,8.188356744666667,8.652002342,0.000179943,6.11844000967567e-05,0.000179943,1.0,0.3333333333333333,30191.88404,30884.91455,693.0305100000005,0.0,0.6883056310706411,0.6883056310706411,6,691.6962211065569,1.0019289982404538
Blackwarrior,2018,Blackwarrior_2018_24,24,3172.005113,0.001878582,0.000586942,426,426370.6316,3607769.231,18.882577,0.183250387,0.953451531,True,31264.82491,-2.639151285666667,-8.502477818,14.61396634131309,13.512400923666668,26.14144138,-0.0005869421666666667,0.0005695015582364197,0.0005869421666666667,0.0,0.4166666666666667,31075.2577,34247.26282,3172.0051200000053,2666.0,0.9810080925179404,-0.9810080925179404,6,2954.926478717515,1.07346329455097
Blackwarrior,2018,Blackwarrior_2018_25,4,328.40637,0.000497995,0.000462851,438,424043.8214,3610408.328,16.89677815,0.345210278,0.953451531,True,35023.32468,-9.17689879,-9.17689879,9.088148968386443,9.17689879,17.04746667,0.000462851,4.058079572080043e-05,0.000462851,1.0,0.0,34694.91831,35023.32468,328.40636999999697,,,,0,328.40637004329835,0.9999999998681561
Blackwarrior,2018,Blackwarrior_2018_26,16,1232.573069,0.003336736,0.001695834,441,423739.2652,3610998.425,15.96517369,0.280778447,0.953451531,True,35703.5116,-2.4341106395,-4.7669634064999995,9.466050637976378,8.48799874825,15.23061661,-0.001695834375,0.0010642492189777025,0.001695834375,0.0,0.375,35362.38475,36594.95782,1232.5730700000058,774.0,0.9987808490351879,-0.9987808490351879,6,944.324620469703,1.3052429665414458
Blackwarrior,2018,Blackwarrior_2018_27,4,255.2996033,0.000337884,0.000173132,447,424559.7099,3611433.272,15.85374568,0.333246269,0.953451531,True,36808.1406,-15.95639469,-15.95639469,1.2528820577993958,15.95639469,17.04142238,0.000173132,0.00019023922309905844,0.000173132,1.0,0.0,36808.1406,37063.4402,255.29959999999846,,,,0,255.29960333413197,0.9999999998663062
