river,year,row_id,x,y,DamBin,DamBin_encoded,Regulated_binary,DamDistance_km,migration_rate_m_per_yr,curvature,EVI_change_2000_2018_unitless,EVI_change_2018_2024_unitless,Delta_EVI_change_unitless,CV_runoff_ERA5_2000_2018_unitless,CV_runoff_ERA5_2018_2024_unitless,Delta_ERA5_CV_unitless,__source,epoch,is_training,ds_m,s_m,curv_sign,curv_sign_ff,bend_id,U_mode,CV_runoff_selected,CV_runoff_z,phase_lag_min_m,phase_lag_max_m,phase_lag_step_m,migration_abs_m_per_yr
Blackwarrior,2000,18,423338.5962,3600344.325,10–30 km,2,1,26.65133822,-10.3691134,-0.00218865,0.016002668,0.257323767,0.241321099,1.305027957,0.967452609,-0.337575348,features_model_ready_cleaned.csv,2000-2018,TRUE,0,4882.563077,-1,-1,Blackwarrior_2000_2,absorbed,1.305027957,2.408036438,0,3000,86,10.3691134
Blackwarrior,2000,19,423324.2924,3600211.538,10–30 km,2,1,26.78260504,1.636159769,-0.003179872,-0.011092243,0.357770789,0.368863032,1.305027957,0.967452609,-0.337575348,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,133.5551798,5016.118257,-1,-1,Blackwarrior_2000_2,absorbed,1.305027957,2.408036438,0,3000,86,1.636159769
Blackwarrior,2000,19,423324.2924,3600211.538,10–30 km,2,1,26.78260504,1.636159769,-0.003179872,-0.011092243,0.357770789,0.368863032,1.305027957,0.967452609,-0.337575348,features_model_ready_cleaned.csv,2000-2018,TRUE,0,5016.118257,-1,-1,Blackwarrior_2000_2,absorbed,1.305027957,2.408036438,0,3000,86,1.636159769
Blackwarrior,2000,20,423063.9968,3600045.062,10–30 km,2,1,26.9293456,5.767118102,0.000159687,0.056344669,0.254901171,0.198556502,1.305027957,0.967452609,-0.337575348,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,308.9790575,5325.097314,1,1,Blackwarrior_2000_3,absorbed,1.305027957,2.408036438,0,3000,86,5.767118102
Blackwarrior,2000,20,423063.9968,3600045.062,10–30 km,2,1,26.9293456,5.767118102,0.000159687,0.056344669,0.254901171,0.198556502,1.305027957,0.967452609,-0.337575348,features_model_ready_cleaned.csv,2000-2018,TRUE,0,5325.097314,1,1,Blackwarrior_2000_3,absorbed,1.305027957,2.408036438,0,3000,86,5.767118102
Blackwarrior,2000,21,422720.8233,3599691.547,10–30 km,2,1,27.26084521,10.71583252,0.000924826,0.052083351,0.236709019,0.184625668,1.305027957,0.967452609,-0.337575348,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,492.6874327,5817.784747,1,1,Blackwarrior_2000_3,absorbed,1.305027957,2.408036438,0,3000,86,10.71583252
Blackwarrior,2000,21,422720.8233,3599691.547,10–30 km,2,1,27.26084521,10.71583252,0.000924826,0.052083351,0.236709019,0.184625668,1.305027957,0.967452609,-0.337575348,features_model_ready_cleaned.csv,2000-2018,TRUE,0,5817.784747,1,1,Blackwarrior_2000_3,absorbed,1.305027957,2.408036438,0,3000,86,10.71583252
Blackwarrior,2000,22,422661.5783,3599501.9,10–30 km,2,1,27.44704378,-6.313144909,0.001665143,0.024374847,0.278984208,0.254609361,1.305027957,0.967452609,-0.337575348,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,198.6855673,6016.470314,1,1,Blackwarrior_2000_3,absorbed,1.305027957,2.408036438,0,3000,86,6.313144909
Blackwarrior,2000,22,422661.5783,3599501.9,10–30 km,2,1,27.44704378,-6.313144909,0.001665143,0.024374847,0.278984208,0.254609361,1.305027957,0.967452609,-0.337575348,features_model_ready_cleaned.csv,2000-2018,TRUE,0,6016.470314,1,1,Blackwarrior_2000_3,absorbed,1.305027957,2.408036438,0,3000,86,6.313144909
Blackwarrior,2000,23,422667.2859,3599203.907,10–30 km,2,1,27.74501902,7.186536907,0.000220538,0.054560103,0.350439346,0.295879243,1.305027957,0.967452609,-0.337575348,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,298.0476552,6314.517969,1,1,Blackwarrior_2000_3,absorbed,1.305027957,2.408036438,0,3000,86,7.186536907
Blackwarrior,2000,23,422667.2859,3599203.907,10–30 km,2,1,27.74501902,7.186536907,0.000220538,0.054560103,0.350439346,0.295879243,1.305027957,0.967452609,-0.337575348,features_model_ready_cleaned.csv,2000-2018,TRUE,0,6314.517969,1,1,Blackwarrior_2000_3,absorbed,1.305027957,2.408036438,0,3000,86,7.186536907
Blackwarrior,2000,24,422654.4793,3598887.501,10–30 km,2,1,28.06042596,-6.160690804,0.000327581,0.038124856,0.153078036,0.11495318,1.305027957,0.967452609,-0.337575348,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,316.6650689,6631.183038,1,1,Blackwarrior_2000_3,absorbed,1.305027957,2.408036438,0,3000,86,6.160690804
Blackwarrior,2000,24,422654.4793,3598887.501,10–30 km,2,1,28.06042596,-6.160690804,0.000327581,0.038124856,0.153078036,0.11495318,1.305027957,0.967452609,-0.337575348,features_model_ready_cleaned.csv,2000-2018,TRUE,0,6631.183038,1,1,Blackwarrior_2000_3,absorbed,1.305027957,2.408036438,0,3000,86,6.160690804
Blackwarrior,2000,25,422696.4424,3598666.691,10–30 km,2,1,28.28320403,4.571080804,0.001367613,-0.044816737,0.90677022,0.951586957,1.305027957,0.967452609,-0.337575348,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,224.7620027,6855.945041,1,1,Blackwarrior_2000_3,absorbed,1.305027957,2.408036438,0,3000,86,4.571080804
